GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DAQExpert,rcms.utilities.daqexpert.notifications,FinishNotification,31,0,0,0,13,0,9,0,9,0
DAQExpert,rcms.utilities.daqexpert.notifications,Notification,97,0,0,0,30,0,20,0,20,0
DAQExpert,rcms.utilities.daqexpert.persistence,Point,4,50,0,0,2,15,1,11,1,11
DAQExpert,rcms.utilities.daqexpert.persistence,LogicModuleRegistry,5,547,0,0,0,45,1,8,1,8
DAQExpert,rcms.utilities.daqexpert.persistence,EventProducer,4,0,0,0,2,0,2,0,2,0
DAQExpert,rcms.utilities.daqexpert.persistence,TinyEntryMapObject,36,28,0,0,6,12,4,8,4,8
DAQExpert,rcms.utilities.daqexpert.persistence,PersistenceManager,463,480,15,11,95,118,16,17,6,12
DAQExpert,rcms.utilities.daqexpert.persistence,Condition,144,270,35,11,38,61,27,31,7,28
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.failures,KnownFailure,0,6,0,0,0,3,0,1,0,1
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.failures,FlowchartCase6,0,200,4,24,0,36,4,13,0,3
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.failures,FlowchartCase3,0,131,0,16,0,27,0,10,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.failures,FlowchartCase2,0,178,3,23,0,42,3,13,0,3
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.failures,FlowchartCase5,0,204,4,24,0,38,4,12,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.failures,FlowchartCase4,14,104,1,13,3,20,1,8,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.failures,FlowchartCase1,27,188,6,14,9,46,7,6,1,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,SubsystemSoftError,8,66,1,9,2,18,1,6,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,LongTransition,0,58,0,6,0,18,0,5,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,Deadtime,50,62,1,3,7,17,1,4,0,3
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,StableBeams,2,19,1,1,1,7,1,2,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,AvoidableDowntime,30,0,2,0,9,0,3,0,2,0
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,FEDDeadtime,40,121,0,12,5,33,0,9,0,3
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,NoRateWhenExpected,3,64,1,7,1,18,1,5,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,SubsystemError,8,66,1,9,2,18,1,6,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,Transition,0,58,0,6,0,18,0,5,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,ExpectedRate,10,92,10,20,0,19,10,7,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,Downtime,0,34,1,3,0,10,1,3,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,CriticalDeadtime,0,49,0,6,0,14,0,5,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,NoRate,0,22,0,2,0,8,0,3,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,WarningInSubsystem,0,99,0,12,0,23,0,8,0,2
DAQExpert,rcms.utilities.daqexpert.reasoning.logic.basic,BeamActive,2,45,9,9,1,12,9,2,0,2
